	Question
5328	learning a new language: does leaving audio on while sleep benefit at all?
5329	why does red plus blue make magenta with additive color mixing?
5330	how does "escape velocity" work? isn't any speed escape velocity as long it isn't zero?
5331	how does reading work? what happens inside the brain while reading?
5332	would we ever run out of hydrogen to power fusion reactors?
5333	is there a scientific reason for why people like certain music?
5334	matter can be converted to energy. does the opposite also happen?
5335	how do 'after-tastes' work? why do we get a different taste only after the food has been swallowed?
5336	since the rotation of the earth is slowing down, when will the day be twice as long as now?
5337	why do our bodies develop dominant body parts (left handedness vs right handedness)?
5338	if i planted my bonsai tree in the ground, would it remain small or grow into a regular tree?
5339	how is an actual memory different from a memory of an imagination or fantasy?
5340	does every element have a solid, liquid, and gas form if brought to the correct temperature?
5341	are there known instances of a satellite (moon) with a satellite of it's own? is there a theoretical limit to the daisy chain?
5342	if an astronaut were to die in space from natural or accidental causes, what would the procedure be?
5343	why do we find animals adorable?
5344	how many numbers a & b exist such that a^b = b^a? how many rational numbers? integers? or is there a way to prove that there is an infinite amount?
5345	how do wireless chargers work?
5346	since computer screens are made to trick our eyes, does that mean that other animals don't see our computer screens the same way?
5347	how powerful would the "little boy" atomic bomb have been had all 141 lbs of uranium-235 undergone fission?
5348	why does coffee only make a stain on the mug at the level of the coffee?
5349	what happens when someone gets a blood transfusion of the wrong blood type?
5350	why can my eyes adjust fairly quickly when i go from a dark place to a light one, but take a long time to adjust when i do the reverse?
5351	how do plants like lemon trees and chilli bushes hope to spread their seeds and multiply?
5352	why do so many mammals have white undersides?
5353	what is the biggest a hurricane could get on earth?
5354	could the meteorite that hit russia be related to the asteroid 2012 da14?
5355	why does blowing out a flame work?
5356	why do airplane windows need to have that hole?
5357	how do my cat's hairs have multiple colors on a single strand?
5358	how much is known about what's on the other side of the milky way?
5359	which elements are poisonous in their pure form?
5360	"at near-light speed, we could travel to other star systems within a human lifetime, but when we arrived, everyone on earth would be long dead." at what speed does this scenario start to be a problem? how fast can we travel through space before years in the ship start to look like decades on earth?
5361	if humans could process gasoline for energy, how much gas would we need per day?
5362	if humans could digest petrol/gas how much energy could we gain from it? how much would it take to make us go for a day?
5363	could a piece of metal orbit around a magnet?
5364	what would happen if we exploded the worlds nuclear stockpile at the core of the earth?
5365	why can certain blood transmittable things (west nile, malaria, zika, etc.) be transmitted through mosquito bites, but other (aids, hepatitis, etc.) cannot?
5366	are there any studies which look at the long-term (10- 20 year) effects of infant 'cry it out' sleep training?
5367	do all stars, including red giants and brown dwarfs, have goldilocks zones? or are only particular types of stars capable of sustaining life?
5368	on earth you can reach a stable temperature about 20m underground (i think), would it work the same as on mars?
5369	does gravity cause the bending of space-time or does the bending of space-time create gravity?
5370	if one calorie, when burned produces enough energy to raise the temp of a litre of water by one degree. if i burn 100 calories, could i boil that same litre?
5371	why don't electrons traveling in the orbitals of atoms lose energy, although they are a mass traveling a narrow space which should require some kind of acceleration to stay close to the atom?
5372	is there any underlying reason we say protons are positive and electrons are negative? would it work if we just switched both in all our equations?
5373	at what point is a lake big enough to be classified as a sea?
5374	is it possible to bring a fetus from fertilization to birth completely within a lab environment (no implantation)?
5375	why are neutron stars so incredibly hot, even though they no longer undergo fusion?
5376	the surface of the earth is smoother than a snooker ball if it were to be scaled down to the same size. what would the relative heights and depths of the earth have to be for it to be as dimpled as a golf ball?
5377	if 97% of the earth's inhabitable space consists of water, why isn't the earth's dominant species aquatic?
5378	what are spiders doing when they just sit there on your wall?
5379	do we know that the speed of light in a vacuum is 3*10^8 m/s, or is that the speed of light in dark matter? does it make a difference?
5380	why the mass inside a black hole is a "singularity" and not just a very dense body like a neutron star?
5381	when life expectancy was 30, did people die of 'natural causes' or did they all die horribly from disease?
5382	does one hemisphere have a more intense summer than the other?
5383	how do people function during a drunken blackout?
5384	is there any evidence that marijuana is better at relieving pain than other drugs?
5385	why does my car become a torture chamber whenever i roll only 1 window down above 40mph?
5386	is the nucleus of an atom a sea of quarks without clear boundaries between protons and neutrons?
5387	what are the effects of ultra-strong magnetic fields on a normal human body?
5388	does the act of boiling actually help cook foods (e.g. potatoes), or do you get the same results with really hot (99c) water?
5389	what happens to the entropy of an object that gets sucked into a black hole?
5390	why do protons and neutrons have slightly different masses?
5391	how do biologists know when they've discovered a new species?
5392	if i was in an airtight room would i die first from buildup of co2 or depravation of oxygen?
5393	if a gigabit ethernet connection uses 8 wires instead of 4 compared to a 100mbps connection. why is the speed is 10 times faster and not just 2 times faster?
5394	if i point a laser to a planet, does it reach its surface?
5395	why are there more venomous animal species in hotter environments than in cold?
5396	if the earth's atmosphere was compressed into a liquid, how would it compare in volume to the oceans?
5397	why do solar panels use silicon cells rather than a metal with a lower work function, such as cesium/caesium?
5398	why can't we replace hearts and lungs by pumping oxygenated blood though people?
5399	why does splitting an atom give off so much energy?
5400	realistically, when will we run out of oil?
5401	can you measure absolute velocity in space without a frame of reference?
5402	how do prion proteins actually cause a normal copy to misfold?
5403	how do we know what dinosaurs did with their bodies?
5404	the flow of time, the expansion of space, and the increase of entropy all proceed in a single direction. is there any explicit relationship between them?
5405	what is the purpose of homosexual interaction between animals?
5406	where do autistic people derive their of morality from? if the ability to feel 'empathy' is not core to our morality, how does the brain derive morals and sense of social justice?
5407	if we were to build the voyager space craft today would it be orders of magnitude better than the 1977 version or are there limitations (e.g. power source, propulsion, sensors, etc) that keep us from really improving this design?
5408	why is mercury so dangerous to be touched or ingested?
5409	why are a lot of space shuttles launched at night? is it for aesthetics? or is there a legitimate reason behind it, like air temperature?
5410	would a dinosaur be able to survive in earth's current atmosphere?
5411	what color were earth's sky and oceans prior to the great oxygenation event?
5412	are tumors edible?
5413	would a nerf gun work in space?
5414	why do abandoned buildings seem to decay so quickly when people live in buildings that are centuries old?
5415	why do we get allergies? is there an evolutionary reason/benefit for why they exist?
5416	does putting a sharp knife in the dishwasher really make it duller?
5417	in deal or no deal, when you get to the end (just two unopened cases left), you're given the option to switch. if the $1m suitcase is still in play, does the monty hall problem apply... at 96% probability?
5418	why does chrome get so hot in the sun? should it not reflect most light and stay cool?
5419	has the human penis grown larger over time due to natural selection?
5420	were there ever multiple oceans?
5421	does listening to audio with one ear or watching something with one eye have an effect on how the information is processed/remembered?
5422	what age did early humans tend to have children?
5423	what's the reason i don't remember every moment in my life? is it because my brain is not recording every moment or my brain cannot retrieve what it has recorded?
5424	if all electrical activity in the brain ceases, even for a second, can the brain "start" again? or is the person effectively dead?
5425	can blackholes absorb matter larger than itself?
5426	why does the ph scale have 7 as neutral instead of 0?
5427	is is possible for an acid to be as corrosive as the blood produced by the xenomorph from the alien franchise?
5428	earth's escape velocity is 11.2 km/s, but would anything happen if a land vehicle were to move that fast across earth's surface?
5429	if i put a flashlight in space, would it propel itself forward by "shooting out" light?
5430	why does the aroma of ground coffee permeate a plastic bag but not say, orange slices for example?
5431	do black holes have a temperature?
5432	why is it that my flight isnt any shorter when i'm travelling in the opposite direction to the earths rotation?
5433	the half-life of hydrogen-7 is 21 yoctoseconds (21x10^-24s). how is that time measured?
5434	black holes "slow down" time. is there an astronomical phenomenon that "speeds up" time for a handful of people? could we use it to "get ahead" in the galactic race for domination/survival?
5435	why does hawking radiation not have an equal chance of increasing or decreasing the mass of a black hole, causing no net change?
5436	why is it better to stay awake after being heavily damaged (for instance after a crash)?
5437	to what extent does my dog understand my affection for him?
5438	why do cavities and necrosis turn teeth/tissue black?
5439	what kind of effects would occur if jupiter were to careen into the sun?
5440	when we say the earth is 4.5 billion years old, what event do we do we define as its birth?
5441	is protein from meat "better" than protein you get from other sources?
5442	why does acne mainly appear on the face, neck, and chest rather than sweatier places like the armpits or feet?
5443	before the discovery of nuclear fusion, what theories were there for the sun's energy?
5444	do insects such as flies have "homes" or nests? or do they just spend their lives roaming through the air trying to eat and mate?
5445	how deep would an ocean have to be until the water at the bottom became a solid?
5446	why do modern wind turbines only have three long narrow blades? wouldn't they be able to extract more energy if there were more blades, or the blades were wider and covered more of the swept area? has it got something to do with power to weight?
5447	mtdna is passed down from females to all of their children; shouldn't there be people around who carry denisovan or neanderthal mtdna because they had a great- great- (etc) grandmother who was denisovan or neanderthal?
5448	did matriarchies ever exist? if so, did they extend beyond the immediate tribe? what is the consensus in the anthropological community?
5449	i keep hearing about outbreaks of measles and whatnot due to people not vaccinating their children. aren't the only ones at danger of catching a disease like measles the ones who do not get vaccinated?
5450	how do wild creatures get through unusually cold weather?
5451	what actually kills you when you are dehydrated?
5452	when you burn a log, the ashes will weigh less than the original log. if you captured all the gasses/smoke that escaped + the ashes, would it weigh the same as the original log?
5453	why are some charging cables faster than others even when using the same power supply?
5454	when lightning strikes the ocean, how far do the effects of the electricity go?
5455	why does most of the water in large bodies such as the great lakes, or at the bottom of the ocean, not freeze despite the temperature often being well below the freezing point?
5456	today i was in a 15 story building during an earthquake. if the building collapsed, would i have been safer on the first floor, 15th floor or somewhere in between?
5457	of a 20-floored building, which floor would encounter the most danger assuming that an earthquake takes place and does not collapse the building, and why?
5458	does gender run in families?
5459	how much have skyscrapers slowed down earth's rotation speed?
5460	do dogs understand pictures of their owners?
5461	was told to ask this here instead: if we take a spherical ball of dirt and place a seed at the center, and put it in zero gravity on a space station or something, and illuminate it equally from all directions, where will the plant grow towards?
5462	what exactly is natural death?
5463	are arachnid brains generally very dissimilar in structure to insect brains, and if so, how do they differ in cognitive performance etc?
5464	are there any life forms on human satellites in outer space?
5465	why haven't we created superior alternatives to turbines for electricity generation?
5466	what caused all the giant underwater reptiles to die out at the cretaceous mass extinction but not other ocean life?
5467	what's the point of rockets in space?
5468	can you travel faster than light relative to a moving object?
5469	why is it not possible to simply add protons, electrons, and neutrons together to make whatever element we want?
5470	how does auto adjusting focus "know" when focus is correct?
5471	if i no longer have a fever, am i still contagious?
5472	by observing a radioactive atom, is there any way of knowing whether it will decay soon or in a million years' time?
5473	why do house cats have slit pupils but big cats (lions, tigers, cheetahs, etc) have round pupils?
5474	what happens to light after it hits the cone or rod cells in our eyes?
5475	are earthquakes only dangerous because of our man-made buildings and infrastructure?
5476	can three of the four types of volcanic eruptions happen underwater?
5477	if kepler-452b is 60% larger than earth, does that mean its gravity 60% more?
5478	if subatomic particles make up everything, yet take up no space. how can everything around me take up space?
5479	can eating a very spicy pepper actually harm you?
5480	how is it that radiation suits protect people?
5481	marie curie died only after 38 years of nearly-continuous exposure to high levels of radiation. is this a huge anomaly, or are the dangers of radiation somewhat exaggerated?
5482	why doesn't the gas cylinder of a gas stove explode when the burner of the gas stove is ignited?
5483	if an object is "blue" because it only reflects blue light, then why isn't it invisible or at least colorless if we shine red light on it?
5484	is it possible to give a planet without an active core a magnetic field?
5485	would headphones tangle in space?
5486	how does the white blood cell know where the bacteria is and how does it actually move?
5487	is the big bang theory the only scientifically supported theory on the origins of our universe? do we have ideas of other ways it could have conceivably happened that would make as much sense?
5488	why exactly does water put out fire so effectively? both oxygen and hydrogen merrily burn, so why is the combination of the two such a great anti-fire agent, from a physics standpoint?
5489	"whiskey makes me an angry drunk." do different types of liquor have different effects?
5490	what is physically happening to li when a li-ion battery is charged under load (while on)?
5491	how do herbivores like horses, bulls, rhinos etc, get so big and muscular when they barely eat any protein or carbs?
5492	can you feel very strong radiation?
5493	in 2024 if nasa do get to and land on the moon, will novice photographers or people with telescopes be able to see any of the mission?
5494	since mountains are changing elevation due to plate tectonics is it possible to know what the highest mountain to ever have existed was?
5495	could you get cancer from ingesting a cancerous tumor?
5496	what happens to a photon when it travels straight toward a gravitational object? it can't accelerate right?
5497	if extra wings seen on biplanes add more lift and maneuverability, why don’t we add them to modern planes or jets and have them built into the airframe like we do today?
5498	how rapidly (or not) does a newborn star "ignite" once it reaches critical mass? hours, days, years?
5499	why are lightning bolts blue?
5500	are flies dirty?
5501	why do humans have 8 different types of blood?
5502	are there any branches of math wherein a polygon can have a non-integer, negative, or imaginary number of sides (e.g. a 2.5-gon, -3-gon, or 4i-gon)?
5503	how come almost every other mammal (carnivore or herbivore) can eat their meat completely raw and we have to cook ours or else we could potentially die?
5504	do men carry specific genes for female traits, such as breast size? do women carry specific genes for male traits, such as penis size?
5505	why doesn't water become more viscous as it approaches freezing?
5506	why did my bottle of water freeze after sticking a straw in it and taking a drink?
5507	every time i have a scratchy or sore throat, i am told to gargle salt water. why?
5508	why is breath cold when you blow in an 'o' but warm when you breathe out with a wide mouth?
5509	what would happen if someone were to take a glass container out into space, close it, seal it, then take it back onto earth?
5510	if a bullet is fired through a highly magnetized field, would the bullet change path or direction?
5511	how important is it to really drink a full glass of water when the directions for pills indicate to do so? are they much less effective if drinking just enough water to swallow them?
5512	what exactly about the higgs boson or the higgs field gives matter mass?
5513	if the solubility of co2 decreases as temperature increases, then why is global warming causing ocean acidification?
5514	in regards to classification (e.g.: solid, gas, liquid, etc) what is fire?
5515	is there a point after quitting nicotine where the chemical addiction is back to that of a life-time non-smoker?
5516	i have myopia. when i look in a mirror, objects behind me are blurry. logically, shouldn't i be able to see these things clearly?
5517	how many plants would have to be with a person in an airtight space for continuous breathable air?
5518	is it worse for your liver to drink 3 beers/alcoholic drinks everyday of the week, or 21 drinks 1 day of the week?
5519	i heard we are running out of helium on earth. how true is this, and is anyone working on a way to find/create more of it?
5520	if every plant, tree and bit of vegetation suddenly disappeared how long until all the oxygen runs out and we die?
5521	how do computers and phones (et cetera) know the exact percentage of battery life they have remaining?
5522	does acupuncture work?
5523	does acupuncture work?
5524	why do coal power plants emit more radiation than nuclear power plants?
5525	how do surgeons attach a donated piece of liver to a patient's circulatory system when it's "cut out" from a living donor?
5526	when pain killers stop pain, do they stop pain from being sent, or block pain receptors so we just don't feel it?
5527	does dark energy actually exert a force? is it actually energy?
5528	why does the sun's magnetic field keep changing every 11 years?
5529	what would consume more fuel: two identical cars driving 50 miles or 1 car towing the other car for the same distance?
5530	why do astrobiologists set requirements for life on exoplanets when we've never discovered life outside of earth?
5531	is there an evolutionary advantage to right-handedness?
5532	if the reason testicles are kept outside the body is that sperm can't survive at the body's internal temperature of 37c/98f, why do people who live in places where the ambient temperature is routinely higher than that have no trouble breeding?
5533	if an airline knew the weight of everyone on a flight, would they be able to save a significant amount of money in fuel costs?
5534	hein et al (2017) have explored scenarios for sending a spacecraft to the recently confirmed interstellar asteroid "oumuamua". what payloads and capabilities would we wish to prioritize on the exploration of this strange and peculiar object?
5535	why doesn't division by zero have its dedicated imaginary number like "sqrt(-1) = i" does?
5536	how true is the statement, "beer before liquor never been sicker, liquor before beer you're in the clear"?
5537	would a faraday cage protect electronics inside from the effects of an emp?
5538	what exactly is "weapons grade uranium/any other nuclear element"? what makes it different from other types of the same element?
5539	is the fact that human women ovulate monthly unusual for mammals (or animals in general) and is there thought to be an evolutionary advantage to this schedule?
5540	does gravity travel at different speeds in different mediums?
5541	the swarm satellite recently revealed the earth's magnetic field is weakening, possibly indicating a geo-magnetic reversal. what effects on the planet could we expect if this occurred?
5542	why do some people pass out when seeing blood?
5543	if i were to get enough viruses in a small space to be able to see them without a microscope, what would it look like?
5544	does a particle have an antiparticle only if it is charged?
5545	if a bullet is shot straight into the air; how fast/dangerous will it be when it comes back down ?
5546	which is the stronger bond for platinum: oxygen or nitrogen?
5547	do we know how old disorders like downs, cerebral palsy, etc. are? why have they not been eliminated via evolution/selective breeding?
5548	in laymen's terms, why does splitting an atom release so much energy?
5549	has insomnia been observed in animals other than humans?
5550	if certain types of mental illness are caused by chemical imbalances, why are diagnoses based on symptoms rather than tests of this chemistry? and if we can't do such tests, then how do we know what the cause is in the first place?
5551	what is the higgs boson made of?
5552	why did we evolve two kidneys?
5553	if the laws of thermodynamics state that no machine can be 100% efficient because some energy will be lost to heat, is it possible to make a 100% efficient heater?
5554	could you make an iron ball orbit a magnet in space?
5555	why does cannibalism cause disease?
5556	is the steam emitted from a nuclear power plant radioactive?
5557	is it true that if the earth's size is that of a billiard ball, it would be smoother than a real one?
5558	if we shrunk the earth down to the size of a billiard (pool) ball, would it be smoother than an actual billiard ball?
5559	every winter my city alone dumps millions of pounds of salt onto the roadways. what is the environmental impact of using salt to de-ice roadways?
5560	how common is general anesthesia in dental practice?
5561	why is fish different than other meat?
5562	in the winter when frogs are frozen, are they conscious or asleep?
5563	why and how does a coin "ring" if i flip it?
5564	does light lose energy when reflected?
5565	why doesn't it lightning and thunder during snow storms like it does in rainstorms?
5566	science documentary just said a magnetar would pull the iron from your blood from thousands of miles away. i always thought iron in the blood was ferromagnetic and did not react to magnetic fields?
5567	why do our voices crack when we sing higher than our range?
5568	is a submarine able to safely contain humans in space?
5569	why don't electrons crash into the nucleus of an atom?
5570	why have cpus been limited in frequency to around 3.5ghz for so many years? what prevents us from increasing the frequency to 10, 100, 1000ghz?
5571	why do intel's next gen processors have lower clock-rate (~1.7ghz or ~1.9ghz) ?
5572	does jupiter's "spot" move around like a hurricane, or is it a stationary storm?
5573	after death, can the brain still function to a degree? can neurons still carry signals for a period of time?
5574	how many lines of code does new pc games take?
5575	why do galaxies have spiral arms? what force coalesces stars into arms?
5576	we all know about trilobites, dinosaurs, pterodactyls and other animals that have gone extinct, but have we discovered any extinct plants with unique features not seen in plants today?
5577	would it be possible to pump nuclear waste into a really deep oil field that has run out of oil?
5578	what if we put a mirror in space, 1 light year from earth and we pointed hubble at it would it be possible to see two years into earths past?
5579	what is the science principle which prohibits us from placing metal inside the microwave oven?
5580	why can't we land a probe on this supposed "alien asteroid" that has visited us from outside the solar system? couldn't we use it to freeload, virtually fuel-free, to the outer reaches of our solar system? and beyond?
5581	is the spiciness of peppers intended to persuade or dissuade animals from eating them?
5582	why does metal at room temperature feel cold to the touch?
5583	why does metal feel colder than the ambient temperature?
5584	are other animals aware of their mortality?
5585	is it possible to land something(a probe, a shuttle) on a gas giant like jupiter?
5586	are today's highest mountain ranges the tallest that the earth has ever had?
5587	is spacetime literally curved? or is that a metaphor/model we use to describe the gravitational concepts that we don't yet understand?
5588	is there a nuclear decay process that yields an isotope of au? if so, could we say we've solved the old alchemical quest of deriving precious from nonprecious metals?
5589	why can't hiv be spread by vectors?
5590	in cultures where people file their teeth, are there higher rates of tooth decay due to removed enamel?
5591	how come the liver is the only vital organ that can repair itself and grow back? what is the reason for this?
5592	i recently quit using tobacco after 10 years of use. my family is telling me that i need to do a cleanse. is there any scientific evidence to say that these detoxifying cleanses work or are they bs?
5593	why do sour things make people contort their facial muscles?
5594	what might be different if the earths rotation was in the other direction?
5595	i know we use a base 10 number system to count and a base 2 number system as binary for computers, but what are some examples of what we use other number bases for (base 3, base 4, base 5, etc...)?
5596	what if the moon orbited earth in the opposite direction?
5597	is string theory an actual scientific theory?
5598	why "1 + 1 = 2" ?
5599	why can we bring someone with hiv to undetectable levels, but we can't completely cure it?
5600	so.. can the iris (colored/pigmented area around the pupil) change hue depending on mood, or is this some stupid myth?
5601	why do some vaccines wear off over time?
5602	are there things in genetics that can skew the general 50/50 nature of having a boy or girl?
5603	so atmospheric co2 levels just reached 410 ppm, first time in 3 million years it's been that high. what happened 3 million years ago?
5604	how does asexual reproduction avoid the negative effects of inbreeding?
5605	do spiders ever do any scouting first, or do they just throw up a web and hope for the best?
5606	in dexter, he pokes people in the neck with a syringe full of some agent and they fall unconscious almost instantly. how accurate is this; how quickly would the serum actually reach the brain and have its effect?
5607	why is it, in film and television, that actors inject drugs into someone with no pulse in an attempt to revive the body?
5608	when light is redshifted, is it losing energy? when it's blueshifted, is it gaining energy?
5609	when it is quoted that we share '96% of our dna' with chimpanzees or '99%' of our dna with other humans, what exactly do they mean?
5610	why can't we interface electronic prosthetics directly to the nerves/synapses?
5611	why does the iss need to "re-boost" in order to stay in orbit?
5612	if color is the non-absorption of specific wavelengths, wouldn't a 'red' laser consist of every color except red?
5613	can anyone accurately explain alcohol colories?
5614	can photons be counted?
5615	my dog and cat grow extra hair. a bear hibernates. do humans go through any physiological changes during winter?
5616	why is voyager 1's distance from earth dropping?
5617	does the brain interact with programming languages like it does with natural languages?
5618	how do we "know" certain things about animals that only animals themselves know, such as "dogs are color blind" or "butterflies taste with their feet"?
5619	what are the latest scientific explanations for near death experiences?
5620	is there any actual or theoretical technology that could be used for propulsion in space, but doesn't require storing fuel?
5621	if uranium decays into lead, then is it possible to re irradiate it back into uranium?
5622	why doesn't the west coast get any hurricanes or tropical storms?
5623	i know that the blue whale is the largest known animal to have existed. is there a biological/genetic limit to how big an animal can ever be?
5624	as we begin covering the planet with solar panels, some energy that would normally bounce back into the atmosphere is now being absorbed. are their any potential consequences of this?
5625	after going through a modern embalming, how long does it take a body to decompose once buried?
5626	why are cpu chip wafers circular, instead of a square? aren't the cut-off chips on the edges wasted?
5627	does the universe have something like a frame rate, or does everything propagates through space at infinite quality with no gaps?
5628	does "having girls" or "having boys" run genetically?
5629	i'm no computer expert, so forgive me if this is a ridiculous question: what would happen if computers switched to trinary instead of binary?
5630	how long does it take food to become fat?
5631	what happens when we overdose?
5632	i remember during the 90s/00s that the ozone layer decaying was a consistent headline in the news. is this still happening?
5633	why does a piece of a sparkplug work so well at breaking car glass?
5634	how do radio broadcasting stations know how many people are tuning into their frequency/broadcast?
5635	how is glass made, which is a mirror from one side, and a window from the other?
5636	why does the satellite tv loses signal when it rains?
5637	what is the difference between an aeroplanes 'air speed' and its 'ground speed'?
5638	why are there no early hominids?
5639	if we went out into space and created a closed glass sphere, would it be a more perfect vacuum than anything we could create on earth?
5640	detonating two nukes with a yield 1 megaton tnt each simultaneously side by side vs a single nuke with a yield of 2 megatons. are the damage and radiation fallout the same from both explosions?
5641	did we use to have a universal language, or did different groups of people "evolve" language on their own?
5642	why does red look like violet? -- the color spectrum is linear, moving from red as the longest visible wavelength to violet as the shortest, so why do we see red and violet as similar, like in a color wheel?
5643	does light always move?
5644	do the harmful chemicals that are listed in anti-smoking ads come from the additives that the manufacturer adds or are they inherent to the tobacco itself?
5645	why does reading in a vehicle make many people nauseous, when many other complex tasks do not cause passengers to feel sick?
5646	why do i need to store my eggs in the refrigerator? how come they go bad when they're stored outside of the cold?
5647	how do the current levels of non-ionizing radiation, from wireless transmissions in city centres, compare with the exposure we normally get from either background radiation or sunlight etc?
5648	does the removal of leaves from suburban land very year cause damage to soil quality?
5649	why is kelvin an si base unit?
5650	most descriptions of general anesthesia (as used in surgery) include the use of agents such as midazolam or propofol. these are intended to cause amnesia. why are these agents used?
5651	hypothetically, we're on a space ship moving toward planet / galaxy / sun 5 lightyears away. because what we see of it is 5 years in the past, when moving towards it, would the time in which we are seeing "speed up" due to us getting closer and the light still coming to us at a constant rate?
5652	can all software be reverse engineered--how can you run a program and not be able to see its source code?
5653	why do dogs love belly rubs ?
5654	why is the ring finger so weak relative to the other ones?
5655	how are we able to tell when a sound is near and faint vs far and loud? (how are we able to distinguish distance of sounds)?
5656	if mendel's pea plants disproved gene mixing, why do certain traits like height or skin color appear to blend in humans?
5657	why is it that the moons gravity is able to direct masses of water in different directions but yet we, ourselves cannot physically feel the affect of the moon's gravity?
5658	when people die, are there any cells in their body that continue to live?
5659	would fish in an aquarium in a 0 gravity environment all swim with different orientations?
5660	how can a dimension be 'small'?
5661	what is stopping the speed of light from going faster?
5662	does the number of shakes of a dice increase the randomness of the outcome?
5663	for what reason does holding a car remote against my head increase the range in which it can lock/unlock my car?
5664	how realistic is the cancer "vaccine" talked about recently?
5665	why does cancer occur so often now?
5666	is it possible to add a generator to the wheels of a car? wouldn't that save a lot of energy?
5667	how do bananas exist? why don't they just explode?
5668	given their long lifespans, do turtles or bowhead whales get dementia?
5669	how stable are usb thumbdrives for long-term storage?
5670	can sounds at a frequency humans cannot hear, cover sounds we can hear?
5671	what is spin in quantum mechanics? what function does it serve in qm?
5672	how many average modern nuclear weapons (~1mt) would it require to initiate a nuclear winter?
5673	when humming in the shower or in an echoey room, why does one tone seem to reverberate more than any other tone?
5674	what is this strange circle around the sun?
5675	if i wrap a cold object in several blankets, will the object stay cold longer?
5676	if i throw a baseball at 90 mph, does that mean my hand must be travelling at 90mph before it releases the ball?
5677	has the human gestation period always been approx. 9 months through history?
5678	why do electricity pylons make a loud buzzing sound?
5679	how does a lightning bolt "know" where to strike?
5680	what is it about radiation that makes it impossible to retrieve the reactor core from fukushima? how does it destroy the robots we send to observe the most radioactive parts?
5681	what is happening in the brain when you are struggling to remember something?
5682	how can our brains be so energy efficient when compared to computers, and why do they not overheat?
5683	why do wind turbines have 3 blades? wouldn't 4+ blades generate more torque?
5684	how do drugs which act on serotonin receptors treat disorders of the nervous system?
5685	why do insects seem to be the only creatures that haven't developed a fear of man?
5686	why are so many kids allergic to things now compared to even recent history?
5687	why don't we get cancer in our muscles?
5688	does the craving of different foods at different times have to do with what nutrients your body is currently in need of (protein vs carbs for example)?
5689	if every light in america turned off at once, would we immediately see the milky way or would it take time for the light pollution to wear off?
5690	are we inside of a black hole's event horizon?
5691	how big would wings have to be to facilitate flight for a human?
5692	once urine is in the bladder, is there any way for the body to recoup the water in it?
5693	while only 1 sperm can fertilize an egg, how many sperm are needed to weaken the structural integrity of that egg for that single sperm?
5694	why does smoke from incense or cigarettes not (usually) set off smoke alarms?
5695	why are celsius and fahrenheit measured in degrees while kelvin is its own unit?
5696	is there anything special about the visible spectrum that would have caused organisms to evolve to see it?
5697	is there a difference in suicide rates between people who have already had children and those who haven't?
5698	when hydrogen fuses into helium, where do the extra neutrons come from?
5699	would an object with twice the mass (and size) of the moon, situated twice the distance away from earth that the moon is now, have the same effect on the tides as the moon?
5700	how much more efficient would my refrigerator be if it had a vacuum as insulation as opposed to styrofoam? how about a house with a vacuum layer instead of fiberglass insulation?
5701	are individuals who look young for their age actually physically ageing slower in a metabolic sense? do they live longer than the average for the general population?
5702	when do deep-ocean thermal vent animals sleep, if at all?
5703	which, as a %, is more "empty" - an atom or the universe?
5704	theoretically, if one could double a male's x chromosome, could one produce a female clone of the man?
5705	why is the mass of an electron and positron not identical?
5706	the ocean is full of plastics: what are the primary sources of these plastics?
5707	do peoples eyes really "change colour"?
5708	what stops light from going faster?
5709	with the element radium being so rare, only a few kilograms total being mined over time, how did it make it into so many different consumer products, from watch dials to health elixirs?
5710	in operant conditioning, is there a functional (as opposed to an ethical) reason for a distinction between 'positive' and 'negative' punishment?
5711	why don't companies like intel or amd just make their cpus bigger with more nodes?
5712	if 13% of the netherlands was under the ocean in the last few hundred years, why is the land so fertile?
5713	why can't wifi be installed within a computer rather than being an external device?
5714	were we taught to smile when we're happy or is do we smile for natural reasons? as in, what makes us smile?
5715	how long chronologically does a supernova take to 'happen'?
5716	if a quantum computer is basically trying all the solutions at once, how does it know which is the correct solution?
5717	if a spacecraft was to use a magnetic field to protect its passengers from cosmic radiation decently as well as the earth protects us, how would we generate it (method, power source, etc.) and how strong would it have to be, assuming a ship that is not much larger than the iss?
5718	what makes an object sharp? how does it cut or pierce through other objects?
5719	how small can you make a flame?
5720	if i drive 60mph for an hour does it consume the same amount of gas as going 120mph for thirty minutes?
5721	why do pimples develop on the face far more than rest of the body?
5722	how do scientists know that the red shift means the universe is expansing and it doesnt mean that other stars are moving away from us through empty space?
5723	is a thermometer affected by wind chill?
5724	is a 128 gb memory stick just made up of two 64 gb chips "glued" together or is it an entirely different technology that suddenly occupies half the space?
5725	square-cube law?
5726	what is the square cube law?
5727	how do large clusters of fires like california is having affect the weather?
5728	is there anything special about the air in potato chip bags?
5729	why is the areas around the deserts and tropics hotter than the areas around the equator?
5730	how is the metamorphosis of a caterpillar into a butterfly currently explained by darwinian evolution? or science in general?
5731	in a sudoku puzzle, what is the minimum number of pre-filled boxes for a puzzle to have only one solution?
5732	when an avocado is not ripe, are the fats and nutritional content just as present or does the ripening process make them available? if so, why?
5733	would'nt a black holes gravity tear us apart before we get any where near it's event horizon?
5734	why does an atom need a neutron?
5735	why does the laplace transform work?
5736	what exactly is a laplace transform?
